Well,Mean,STD
219,1.1629924105529454,1.1229319281463765
218,1.1966440977332942,1.1289949018626118
217,1.1358024691358024,1.1137284212603802
241,1.3456121343445286,1.2224569550043212
242,1.2971261568436434,1.2344532427115351
243,1.2285324852339845,1.199115056551734
267,1.5066609368285346,1.3149354083301783
266,1.6344404484874127,1.3938922065542318
265,1.6006164685160722,1.3567970004366068
289,1.4430379746835442,1.2766805858775907
290,1.4783216783216784,1.3490104904415179
291,1.5548159749412687,1.3177146678108969
