Cell ID,mito count per cell
14004,9
47422,8
32094,7
27462,7
39709,7
46983,7
42045,7
13027,7
14405,7
37231,7
21888,7
43880,7
50525,7
13213,7
29315,7
54271,7
46782,6
40699,6
31475,6
786,6
37905,6
44453,6
50557,6
22839,6
50583,6
22204,6
29752,6
28108,6
1199,6
6927,6
53999,6
36885,6
36096,6
37559,6
23092,6
50654,6
29547,6
40771,6
39410,6
32191,6
54032,6
32458,6
30226,6
38458,6
32334,6
51007,6
35581,6
35045,6
46577,6
42221,6
45890,6
39538,6
31489,6
21848,6
35263,6
35230,6
43717,6
14327,6
31884,6
2423,6
36279,6
46331,6
19640,6
16836,6
32230,6
40324,6
14951,6
15283,6
34860,6
35990,6
48721,6
19385,6
48418,6
6855,6
44889,6
36463,6
32477,6
37400,6
52393,6
42365,6
45266,6
40475,6
48679,6
30556,6
40051,6
29762,6
44786,6
30298,6
13667,6
48563,6
35646,6
47131,6
10615,6
43088,6
27225,6
37934,6
40193,6
13282,6
50768,6
34819,6
48994,6
26461,6
14938,6
14744,6
24989,6
39411,6
37341,6
29570,6
36155,6
52892,6
52593,6
26648,6
30423,6
42709,6
40297,6
23435,6
13575,6
27892,6
12096,6
52428,6
30056,6
15007,6
19166,6
36748,6
41263,6
42688,6
43676,6
27666,6
39197,6
37753,6
32491,6
32507,6
34959,6
51722,5
53496,5
48259,5
22528,5
37865,5
6606,5
2645,5
28845,5
43353,5
40366,5
36750,5
44549,5
39515,5
19934,5
51199,5
52611,5
1746,5
28082,5
14103,5
32640,5
34755,5
19759,5
37957,5
28999,5
45668,5
36193,5
39754,5
19574,5
48526,5
46900,5
28764,5
31423,5
23022,5
33368,5
28420,5
40512,5
11942,5
19758,5
24276,5
54293,5
35616,5
41549,5
32385,5
35021,5
42636,5
35587,5
46869,5
44955,5
37917,5
7574,5
30247,5
4836,5
2746,5
31097,5
32322,5
16399,5
22884,5
47338,5
32721,5
32454,5
46679,5
14126,5
31356,5
13348,5
29301,5
38769,5
49685,5
40692,5
30569,5
13284,5
16974,5
33928,5
1823,5
1677,5
42939,5
31886,5
42783,5
22150,5
263,5
20450,5
24973,5
40026,5
36943,5
52470,5
46678,5
15658,5
15010,5
44470,5
48790,5
49157,5
8581,5
50444,5
51163,5
52759,5
1196,5
49581,5
14259,5
40074,5
48596,5
37124,5
23986,5
47379,5
48617,5
20912,5
40883,5
53554,5
54161,5
34932,5
27713,5
34549,5
45331,5
39150,5
9914,5
45216,5
33572,5
600,5
16840,5
19883,5
52644,5
48136,5
49203,5
28970,5
41797,5
40858,5
40239,5
1025,5
48568,5
32644,5
51771,5
22857,5
18078,5
33101,5
43488,5
34220,5
42711,5
4362,5
28280,5
34753,5
42521,5
13183,5
52168,5
8054,5
53638,5
35098,5
31030,5
32355,5
22740,5
22148,5
31060,5
41714,5
31735,5
31015,5
48523,5
13798,5
29564,5
17301,5
53058,5
42727,5
39161,5
12576,5
17045,5
50826,5
50808,5
46556,5
43058,5
43852,5
36955,5
11254,5
107,5
16925,5
30670,5
25552,5
